TimeT,TimeS,Mx,My,Px,Py,Cx,Cy,Cio,CtimeT,CtimeS,Gx,Gy,Gnum,PMDist
00:00.0220,0.0220521,-8.125,0.05681813,-8,0,0,0,None,00:00.0000,0,0,0,0,0.1373073
00:00.0220,0.0220521,-8.125,0.05681813,-8,0,0,0,None,00:00.0000,0,0,0,0,0.1373073
00:00.0360,0.0356256,-8.125,0.05681813,-8.079374,0.03607946,0,0,None,00:00.0000,0,0,0,0,0.05011782
00:00.0500,0.0498234,-8.125,0.05681813,-8.116316,0.05287083,0,0,None,00:00.0000,0,0,0,0,0.009539169
00:00.0650,0.0653273,-8.125,0.05681813,-8.122923,0.05587387,0,0,None,00:00.0000,0,0,0,0,0.002281659
00:00.0890,0.089167,-8.125,0.05681813,-8.124319,0.05650902,0,0,None,00:00.0000,0,0,0,0,0.0007477989
00:00.1010,0.1014148,-8.125,0.05681813,-8.124815,0.05673387,0,0,None,00:00.0000,0,0,0,0,0.0002032944
00:00.1190,0.1189149,-8.125,0.05681813,-8.124943,0.05679176,0,0,None,00:00.0000,0,0,0,0,6.300186E-05
00:00.1400,0.1397574,-8.125,0.05681813,-8.12498,0.05680868,0,0,None,00:00.0000,0,0,0,0,2.214202E-05
00:00.1550,0.1548083,-8.039773,0.1136363,-8.124998,0.05681719,0,0,None,00:00.0000,0,0,0,0,0.1024291
00:00.1770,0.1770642,-7.840909,0.2840906,-8.124998,0.05755651,0,0,None,00:00.0000,0,0,0,0,0.3633511
00:00.1960,0.1962906,-7.784091,0.3693181,-8.125,0.08194896,0,0,None,00:00.0000,0,0,0,0,0.4458696
00:00.2150,0.2153701,-7.670455,0.4261363,-7.903428,0.2396648,0,0,None,00:00.0000,0,0,0,0,0.2984093
00:00.2330,0.2330442,-7.585228,0.4829544,-7.744889,0.3819212,0,0,None,00:00.0000,0,0,0,0,0.1889425
00:00.2560,0.2564468,-7.528409,0.5113637,-7.744889,0.3819212,0,0,None,00:00.0000,0,0,0,0,0.2522274
00:00.2750,0.274875,-7.414773,0.5681819,-7.619545,0.4612389,0,0,None,00:00.0000,0,0,0,0,0.2310155
00:00.2930,0.2931582,-7.357955,0.5681819,-7.562174,0.4933813,0,0,None,00:00.0000,0,0,0,0,0.2174867
00:00.3080,0.3079691,-7.073864,0.625,-7.495843,0.5273243,0,0,None,00:00.0000,0,0,0,0,0.4331365
00:00.3230,0.32343,-6.903409,0.6534094,-7.415407,0.5615306,0,0,None,00:00.0000,0,0,0,0,0.5201758
00:00.3410,0.3405959,-6.789773,0.6534094,-7.373288,0.5640054,0,0,None,00:00.0000,0,0,0,0,0.5903236
00:00.3550,0.3551778,-6.590909,0.6818181,-7.1,0.616004,0,0,triggerEnter,00:00.0000,0,-6.85,0.616004,0,0.5133269
00:00.3550,0.3551778,-6.590909,0.6818181,-7.1,0.616004,0,0,None,00:00.0000,0,0,0,0,0.5133269
00:00.3830,0.3825147,-6.477273,0.6818181,-7.035255,0.6260569,0,0,None,00:00.0000,0,0,0,0,0.5607617
